threshold,costo_total,falsos_negativos,falsos_positivos
0.01,192480.0,0,38496
0.02,106165.0,0,21233
0.03,66232.2272,4,13164
0.04,43270.284,5,8551
0.05,29934.4544,8,5822
0.06,21649.4544,8,4165
0.07,15879.4544,8,3011
0.08,11675.568,10,2129
0.09,8645.568,10,1523
0.1,6448.6248,11,1063
0.11,5073.6248,11,788
0.12,4118.6248,11,597
0.13,3343.6248,11,442
0.14,2733.6248,11,320
0.15,2443.6248,11,262
0.16,2153.6248,11,204
0.17,1963.6248,11,166
0.18,1813.6248,11,136
0.19,1683.6248,11,110
0.2,1691.6816000000001,12,91
0.21,1621.6816000000001,12,77
0.22,1576.6816000000001,12,68
0.23,1546.6816000000001,12,62
0.24,1511.6816000000001,12,55
0.25,1584.7384000000002,13,49
0.26,1662.7952,14,44
0.27,1838.9088000000002,16,38
0.28,1941.9656000000002,17,38
0.29,1931.9656000000002,17,36
0.3,1901.9656000000002,17,30
0.31,1886.9656000000002,17,27
0.32,1861.9656000000002,17,22
0.33,1846.9656000000002,17,19
0.34,1836.9656000000002,17,17
0.35,1821.9656000000002,17,14
0.36,1806.9656000000002,17,11
0.37,1806.9656000000002,17,11
0.38,1801.9656000000002,17,10
0.39,1796.9656000000002,17,9
0.4,1900.0224000000003,18,9
0.41,1900.0224000000003,18,9
0.42,1900.0224000000003,18,9
0.43,1900.0224000000003,18,9
0.44,1900.0224000000003,18,9
0.45,1900.0224000000003,18,9
0.46,1900.0224000000003,18,9
0.47,1900.0224000000003,18,9
0.48,1900.0224000000003,18,9
0.49,1998.0792000000001,19,8
0.5,1998.0792000000001,19,8
0.51,1998.0792000000001,19,8
0.52,1993.0792000000001,19,7
0.53,1993.0792000000001,19,7
0.54,1983.0792000000001,19,5
0.55,2076.1360000000004,20,3
0.56,2076.1360000000004,20,3
0.57,2179.1928000000003,21,3
0.58,2179.1928000000003,21,3
0.59,2277.2496,22,2
0.6,2380.3064000000004,23,2
0.61,2380.3064000000004,23,2
0.62,2380.3064000000004,23,2
0.63,2375.3064000000004,23,1
0.64,2375.3064000000004,23,1
0.65,2375.3064000000004,23,1
0.66,2375.3064000000004,23,1
0.67,2375.3064000000004,23,1
0.68,2478.3632000000002,24,1
0.69,2581.42,25,1
0.7,2581.42,25,1
0.71,2581.42,25,1
0.72,2581.42,25,1
0.73,2581.42,25,1
0.74,2684.4768000000004,26,1
0.75,2684.4768000000004,26,1
0.76,2787.5336,27,1
0.77,2890.5904,28,1
0.78,2890.5904,28,1
0.79,2890.5904,28,1
0.8,2890.5904,28,1
0.81,3096.704,30,1
0.82,3199.7608000000005,31,1
0.83,3302.8176000000003,32,1
0.84,3508.9312000000004,34,1
0.85,3611.9880000000003,35,1
0.86,3606.9880000000003,35,0
0.87,3710.0448000000006,36,0
0.88,4122.272000000001,40,0
0.89,4122.272000000001,40,0
0.9,4122.272000000001,40,0
0.91,4225.3288,41,0
0.92,4225.3288,41,0
0.93,4328.3856000000005,42,0
0.94,4431.442400000001,43,0
0.95,4740.612800000001,46,0
0.96,5049.783200000001,49,0
0.97,5255.8968,51,0
0.98,6286.464800000001,61,0
0.99,6904.805600000001,67,0
