HourBlock,transacciones,fraudes,tasa_fraude_pct,periodo
0,3963,2,0.05046681806712087,Train
1,2217,2,0.09021199819576003,Train
2,1576,21,1.33248730964467,Train
3,1821,13,0.7138934651290499,Train
4,1082,6,0.5545286506469501,Train
5,1681,11,0.6543723973825104,Train
6,1831,3,0.1638448935008192,Train
7,3368,23,0.6828978622327792,Train
8,5179,5,0.09654373431164318,Train
9,7878,15,0.19040365575019041,Train
10,8288,2,0.02413127413127413,Train
11,8517,43,0.504872607725725,Train
12,7732,9,0.11639937920331091,Train
13,7585,9,0.11865524060646013,Train
14,8029,13,0.16191306513887158,Train
15,7836,14,0.17866258295048493,Train
16,7786,14,0.17980991523246853,Train
17,7882,12,0.1522456229383405,Train
18,8607,15,0.17427675148135238,Train
19,7994,7,0.08756567425569177,Train
20,8980,8,0.08908685968819599,Train
21,9895,14,0.1414855987872663,Train
22,8977,3,0.03341873677175003,Train
23,6082,17,0.2795133179875041,Train
24,3732,4,0.10718113612004287,Train
25,2003,8,0.399400898652022,Train
26,1752,36,2.054794520547945,Train
27,1671,4,0.23937761819269898,Train
28,1127,17,1.5084294587400178,Train
29,1309,0,0.0,Train
30,2270,6,0.2643171806167401,Train
31,3875,0,0.0,Train
32,5097,4,0.07847753580537571,Train
33,7960,1,0.01256281407035176,Train
34,8310,6,0.07220216606498195,Train
35,8339,10,0.1199184554502938,Train
36,7688,8,0.10405827263267431,Train
37,7780,8,0.10282776349614395,Train
38,8541,10,0.11708230886313079,Train
39,8625,12,0.1391304347826087,Train
40,8667,8,0.0923041421483789,Test
41,8284,17,0.20521487204249156,Test
42,8432,18,0.21347248576850095,Test
43,7655,12,0.15676028739386022,Test
44,7776,10,0.1286008230452675,Test
45,7808,2,0.025614754098360656,Test
46,6464,6,0.09282178217821782,Test
47,4856,4,0.08237232289950577,Test
